1,["https:\/\/www.cstj.qc.ca","https:\/\/ccmt.cstj.qc.ca","https:\/\/ccml.cstj.qc.ca"], Canada, ["cstj.qc.ca"], Cégep de Saint-Jérôme, 
55,["http:\/\/www.mcmaster.ca\/"], Canada, ["mcmaster.ca"], McMaster University, 
56,["http:\/\/www.msvu.ca\/"], Canada, ["msvu.ca"], Mount Saint Vincent University, 
57,["http:\/\/www.mta.ca\/"], Canada, ["mta.ca"], Mount Allison University, 
58,["http:\/\/www.mtroyal.ca\/"], Canada, ["mtroyal.ca"], Mount Royal University, 
59,["http:\/\/www.nait.ca\/"], Canada, ["nait.ca"], Northern Alberta Institute of Technology, 
60,["http:\/\/www.nic.bc.ca\/"], Canada, ["nic.bc.ca"], North Island College, 
61,["http:\/\/www.nipissingu.ca\/"], Canada, ["nipissingu.ca"], Nipissing University, 
62,["http:\/\/www.nlc.bc.ca\/"], Canada, ["nlc.bc.ca"], Northern Lights College, 
63,["http:\/\/www.nsac.ns.ca\/"], Canada, ["nsac.ns.ca"], Nova Scotia Agricultural College, 
64,["http:\/\/www.nscad.ns.ca\/"], Canada, ["nscad.ns.ca"], Nova Scotia College of Art and Design, 
65,["http:\/\/www.nvit.bc.ca\/"], Canada, ["nvit.bc.ca"], Nicola Valley Institute of Technology, 
66,["http:\/\/www.ocad.ca\/"], Canada, ["ocad.ca"], Ontario College of Art and Design, 
67,["http:\/\/www.okanagan.bc.ca\/"], Canada, ["okanagan.bc.ca"], Okanagan University College, 
68,["http:\/\/www.op.org\/canada\/college.htm"], Canada, ["op.org"], Dominican College of Philosophy and Theology, 
69,["http:\/\/www.picollege.ca\/"], Canada, ["picollege.ca"], Pacific International College, 
70,["http:\/\/www.polymtl.ca\/"], Canada, ["polymtl.ca"], École Polytechnique de Montréal, Université de Montréal, 
71,["http:\/\/www.queensu.ca\/"], Canada, ["queensu.ca"], Queen's University, 
72,["http:\/\/www.questu.ca\/"], Canada, ["questu.ca"], Quest University, 
73,["http:\/\/www.redeemer.ca\/"], Canada, ["redeemer.ca"], Redeemer College, 
74,["http:\/\/www.regent-college.edu\/"], Canada, ["regent-college.edu"], Regent College, 
75,["http:\/\/www.rmc.ca\/"], Canada, ["rmc.ca"], Royal Military College of Canada, 
76,["http:\/\/www.royalroads.ca\/"], Canada, ["royalroads.ca"], Royal Roads University, 
77,["http:\/\/www.ryerson.ca\/"], Canada, ["ryerson.ca"], Ryerson Polytechnic University, 
78,["http:\/\/www.sait.ca\/"], Canada, ["sait.ca"], Southern Alberta Institute of Technology, 
79,["http:\/\/www.saskweb.com\/luthercollege\/"], Canada, ["saskweb.com"], Luther College, 
80,["http:\/\/www.sauder.ubc.ca\/"], Canada, ["sauder.ubc.ca"], Sauder School of Business, 
81,["http:\/\/www.scar.utoronto.ca\/"], Canada, ["scar.utoronto.ca"], University of Toronto, Scarborough, 
82,["http:\/\/www.selkirk.bc.ca\/"], Canada, ["selkirk.bc.ca"], Selkirk College, 
83,["http:\/\/www.senecacollege.ca\/"], Canada, ["senecacollege.ca","myseneca.ca"], Seneca College, 
84,["http:\/\/www.sfu.ca\/"], Canada, ["sfu.ca"], Simon Fraser University, 
85,["http:\/\/www.sheridancollege.ca\/"], Canada, ["sheridancollege.ca"], Sheridan College, 
86,["http:\/\/www.sifc.edu\/"], Canada, ["sifc.edu"], Saskatchewan Indian Federated College, 
87,["http:\/\/www.stclairc.on.ca\/"], Canada, ["stclairc.on.ca","stclairconnect.ca","myscc.ca"], St. Clair College, 
88,["http:\/\/www.stfx.ca\/"], Canada, ["stfx.ca"], St. Francis Xavier University, 
89,["http:\/\/www.stmarys.ca\/","https:\/\/smu.ca\/"], Canada, ["stmarys.ca","smu.ca"], St. Mary's University, 
90,["http:\/\/www.stthomasu.ca\/"], Canada, ["stthomasu.ca"], St. Thomas University, 
91,["http:\/\/www.teluq.uquebec.ca\/"], Canada, ["teluq.uquebec.ca"], Télé-université, Université du Québec, 
92,["http:\/\/www.trentu.ca\/"], Canada, ["trentu.ca"], Trent University, 
93,["http:\/\/www.trinity.utoronto.ca\/"], Canada, ["trinity.utoronto.ca"], University of Trinity College, 
94,["http:\/\/www.tru.ca\/"], Canada, ["tru.ca"], Thompson Rivers University, 
95,["http:\/\/www.twu.ca\/"], Canada, ["twu.ca"], Trinity Western University, 
96,["http:\/\/www.ualberta.ca\/"], Canada, ["ualberta.ca"], University of Alberta, 
97,["http:\/\/www.ubc.ca\/"], Canada, ["ubc.ca"], University of British Columbia, 
98,["http:\/\/www.ubishops.ca\/"], Canada, ["ubishops.ca"], Bishop's University, 
99,["http:\/\/www.ucalgary.ca\/"], Canada, ["ucalgary.ca"], University of Calgary, 
100,["http:\/\/www.uccb.ns.ca\/"], Canada, ["uccb.ns.ca"], University College of Cape Breton, 
101,["http:\/\/www.ucfv.bc.ca\/"], Canada, ["ucfv.bc.ca"], University College of the Fraser Valley, 
102,["http:\/\/www.ucs.mun.ca\/"], Canada, ["ucs.mun.ca"], Memorial University of Newfoundland, 
103,["http:\/\/www.ukings.ns.ca\/"], Canada, ["ukings.ns.ca"], University of King's College, 
104,["http:\/\/www.ulaval.ca\/"], Canada, ["ulaval.ca"], Université Laval, 
105,["http:\/\/www.uleth.ca\/"], Canada, ["uleth.ca"], University of Lethbridge, 
106,["http:\/\/www.umanitoba.ca\/"], Canada, ["umanitoba.ca"], University of Manitoba, 
107,["http:\/\/www.umoncton.ca\/"], Canada, ["umoncton.ca"], University of Moncton, 
108,["http:\/\/www.umontreal.ca\/"], Canada, ["umontreal.ca"], Université de Montréal, 
109,["http:\/\/www.unb.ca\/"], Canada, ["unb.ca"], University of New Brunswick, 
110,["http:\/\/www.unbc.ca\/"], Canada, ["unbc.ca"], University of Northern British Columbia, 
111,["http:\/\/www.unbsj.ca\/"], Canada, ["unbsj.ca"], University of New Brunswick, Saint John, 
112,["http:\/\/www.universitycanadawest.ca\/"], Canada, ["universitycanadawest.ca"], University Canada West, 
113,["http:\/\/www.uoguelph.ca\/"], Canada, ["uoguelph.ca"], University of Guelph, 
114,["http:\/\/www.uoit.ca\/"], Canada, ["uoit.ca"], University of Ontario Institute of Technology, 
115,["http:\/\/www.uottawa.ca\/"], Canada, ["uottawa.ca"], University of Ottawa, 
116,["http:\/\/www.upei.ca\/"], Canada, ["upei.ca"], University of Prince Edward Island, 
117,["http:\/\/www.uqac.ca\/"], Canada, ["uqac.ca"], Université du Québec à Chicoutimi, 
